date,code,action,price,shares
2005-11-01,869,BUY,9.0701564954,500
2005-11-01,600195,BUY,1.6288437164999998,3100
2005-11-01,301,BUY,1.11119760752,4600
2005-11-01,600320,BUY,2.4148837212499994,2100
2005-11-01,600754,BUY,5.38343077272,900
2005-11-01,600490,BUY,0.4283142863999999,12100
2005-11-01,600508,BUY,2.42687108664,2100
2005-11-01,570,BUY,1.8040116094,2800
2005-11-01,900,BUY,1.4498483999999998,3500
2005-11-01,829,BUY,1.1190338359199998,4600
2005-11-01,600000,BUY,1.00634325792,5100
2005-11-01,912,BUY,5.856974643519999,800
2005-11-01,409,BUY,1.4544267437699998,3500
2005-11-01,731,BUY,3.63456188095,1400
2005-11-01,600519,BUY,12.43665350928,400
2005-11-01,600718,BUY,2.43556260948,2100
2005-11-01,600643,BUY,1.317169854,3900
2005-11-01,600309,BUY,2.5027866863999995,2000
2005-11-01,600675,BUY,1.0082460388,5100
2005-11-01,983,BUY,0.8234658431999999,6300
2005-11-01,600650,BUY,5.179850856179999,1000
2005-11-01,886,BUY,1.9042631608,2700
2005-11-01,600038,BUY,5.6829007235,900
2005-11-01,155,BUY,5.0236748562,1000
2005-11-01,792,BUY,6.536368598759999,700
2005-11-01,600875,BUY,4.3835007216,1100
2005-11-01,159,BUY,1.7763681935999998,2900
2005-11-01,600408,BUY,2.416862448,2100
2005-11-01,600026,BUY,4.31472549508,1200
2005-11-01,936,BUY,1.985899916,2600
2005-11-01,600744,BUY,2.38826145558,2100
2005-11-01,600125,BUY,1.92708723207,2600
2005-11-01,600150,BUY,4.503585526439999,1100
2005-11-01,980,BUY,1.80276771675,2800
2005-11-01,600075,BUY,2.19907699011,2300
2005-11-01,572,BUY,3.10220742832,1600
2005-11-01,600667,BUY,0.7467473613599999,6900
2005-11-01,423,BUY,4.199085340449999,1200
2006-02-07,600195,SELL,1.68198727905,3100
2006-02-07,600754,SELL,4.92267907332,900
2006-02-07,833,SELL,4.53962149434,1600
2006-02-07,600490,SELL,0.4452692849999999,12100
2006-02-07,997,SELL,3.1648346373600003,1400
2006-02-07,701,SELL,5.49656369424,700
2006-02-07,600138,SELL,2.90116201392,5100
2006-02-07,600067,SELL,1.42376450031,3500
2006-02-07,936,SELL,1.486449063,2600
2006-02-07,503,SELL,7.640971320059999,400
2006-02-07,600718,SELL,3.61508024106,2100
2006-02-07,600803,SELL,1.64642327865,9600
2006-02-07,600667,SELL,0.81737684496,6900
2006-02-07,807,BUY,2.18217322323,29400
2006-02-07,823,BUY,3.78881824321,16900
2006-02-07,600655,BUY,1.7709712019999997,36200
2006-02-07,600540,BUY,2.49921503832,25700
