date,cash,stock,total_value,position
2018-08-07,78665861.80753477,33713940.774657756,112379802.58219253,0.3
2018-08-08,78194567.69473399,33511957.583457425,111706525.27819142,0.3
2018-08-09,78872959.43178561,33802696.89933669,112675656.33112231,0.3
2018-08-10,79033407.78637685,33871460.47987579,112904868.26625264,0.3
2018-08-13,79284398.7978163,33979028.056206994,113263426.85402331,0.3
2018-08-14,79190412.31902876,33938748.13672661,113129160.45575538,0.3
2018-08-15,78612429.12422109,33691041.05323761,112303470.1774587,0.3
2018-08-16,78342038.38877474,33575159.309474885,111917197.69824962,0.3
2018-08-17,77836805.193693,33358630.797296997,111195435.99099,0.3
2018-08-20,77804561.1693711,33344811.929730467,111149373.09910156,0.3
2018-08-21,78128981.52522333,33483849.225095708,111612830.75031903,0.3
2018-08-22,77923492.20501897,33395782.373579558,111319274.57859853,0.3
2018-08-23,78071267.48782726,33459114.637640253,111530382.12546751,0.3
2018-08-24,77976459.14517325,33418482.490788534,111394941.63596179,0.3
2018-08-27,78707089.6928184,33731609.86835074,112438699.56116913,0.3
2018-08-28,78741924.61017178,33746539.11864504,112488463.72881682,0.3
2018-08-29,78582991.40068935,33678424.88600972,112261416.28669907,0.3
2018-08-30,78067897.15631527,33457670.2098494,111525567.36616467,0.3
2018-08-31,77852468.53689542,33365343.658669464,111217812.19556488,0.3
2018-09-03,77834842.7152828,33357789.735121198,111192632.450404,0.3
2018-09-04,78041106.91651699,33446188.678507276,111487295.59502426,0.3
2018-09-05,77563731.45149481,33241599.19349777,110805330.64499258,0.3
2018-09-06,77396189.6947293,33169795.583455414,110565985.27818471,0.3
2018-09-07,77450786.82142422,33193194.35203895,110643981.17346317,0.3
2018-09-10,76918063.67962113,32964884.434123345,109882948.11374448,0.3
2018-09-11,76902434.73149796,32958186.313499123,109860621.04499708,0.3
2018-09-12,76655271.36470675,32852259.156302895,109507530.52100965,0.3
2018-09-13,76709347.9919646,32875434.853699107,109584782.8456637,0.3
2018-09-14,76436409.07440627,32758461.031888396,109194870.10629466,0.3
2018-09-17,76040468.51401225,32588772.22029096,108629240.7343032,0.3
2018-09-18,76545051.40396753,32805022.03027179,109350073.43423931,0.3
2018-09-19,76924613.04105113,32967691.303307626,109892304.34435876,0.3
2018-09-20,76823793.8086135,32924483.060834352,109748276.86944784,0.3
2018-09-21,77330644.16087028,33141704.640372977,110472348.80124326,0.3
2018-09-25,77301054.30436787,33129023.273300514,110430077.57766838,0.3
2018-09-26,77635586.26130415,33272394.11198749,110907980.37329164,0.3
2018-09-27,77374667.3145217,33160571.70622358,110535239.02074528,0.3
2018-09-28,77675061.26585366,33289311.97108014,110964373.2369338,0.3
2018-10-08,76742223.71417245,32889524.44893105,109631748.1631035,0.3
2018-10-09,76730538.37832132,32884516.44785199,109615054.8261733,0.3
2018-10-10,76631754.45264116,32842180.47970335,109473934.93234451,0.3
2018-10-11,75178401.64673826,32219314.99145925,107397716.63819751,0.3
2018-10-12,75458492.17691194,32339353.790105116,107797845.96701705,0.3
2018-10-15,75079529.46198389,32176941.197993096,107256470.65997699,0.3
2018-10-16,74506606.9531691,31931402.97992962,106438009.93309873,0.3
2018-10-17,74443617.15675835,31904407.352896437,106348024.50965479,0.3
2018-10-18,73667456.04359682,31571766.87582721,105239222.91942403,0.3
2018-10-19,74343543.88417311,31861518.80750276,106205062.69167587,0.3
2018-10-22,75633620.48716056,32414408.780211665,108048029.26737222,0.3
2018-10-23,75011932.33369261,32147971.000153974,107159903.33384658,0.3
2018-10-24,74824817.25899935,32067778.825285427,106892596.08428477,0.3
2018-10-25,74553864.98740685,31951656.42317436,106505521.4105812,0.3
2018-10-26,74448167.41142936,31906357.462041155,106354524.87347052,0.3
2018-10-29,73936293.54834305,31686982.949289873,105623276.49763292,0.3
2018-10-30,74174010.9156561,31788861.82099547,105962872.73665157,0.3
2018-10-31,74559200.91269533,31953943.248298,106513144.16099334,0.3
2018-11-01,63564357.115746915,27241867.335320104,90806224.45106702,0.3
2018-11-02,64251533.50650447,27536371.502787627,91787905.0092921,0.3
2018-11-05,64319650.83560802,27565564.64383201,91885215.47944003,0.3
2018-11-06,64336940.44249648,27572974.47535563,91909914.9178521,0.3
2018-11-07,64263718.98881361,27541593.85234869,91805312.8411623,0.3
2018-11-08,64123343.36514537,27481432.870776583,91604776.23592195,0.3
2018-11-09,64056198.15235987,27452656.35101137,91508854.50337124,0.3
2018-11-12,64487668.71020442,27637572.304373324,92125241.01457775,0.3
2018-11-13,64641943.560429744,27703690.09732703,92345633.65775678,0.3
2018-11-14,64523214.06563534,27652806.02812943,92176020.09376477,0.3
2018-11-15,64793284.75917707,27768550.611075886,92561835.37025295,0.3
2018-11-16,64830024.99970426,27784296.42844468,92614321.42814894,0.3
2018-11-19,64917697.397491224,27821870.313210525,92739567.71070175,0.3
2018-11-20,64516903.715841495,27650101.592503496,92167005.30834499,0.3
2018-11-21,64629649.761738494,27698421.326459352,92328071.08819784,0.3
2018-11-22,64673395.85306889,27717169.65131524,92390565.50438413,0.3
2018-11-23,64000973.451669365,27428988.622144014,91429962.07381338,0.3
2018-11-26,63880280.41099152,27377263.033282075,91257543.44427359,0.3
2018-11-27,63886723.35599239,27380024.29542531,91266747.6514177,0.3
2018-11-28,64116028.479888834,27478297.919952355,91594326.39984119,0.3
2018-11-29,63761321.112838306,27326280.4769307,91087601.589769,0.3
2018-11-30,63823232.120823964,27352813.76606741,91176045.88689138,0.3
2018-12-03,64365809.792541936,27585347.053946543,91951156.84648848,0.3
