date,cash,stock_value,total_value,close,ma120,ma250,target_position,overlay_total,overlay_stock,overlay_cash
2024-11-04,4383528.750842825,3134722.336348001,7518251.0871908255,3944.762,3528.652375,3495.323488,1.0,7518251.0871908255,7518251.0871908255,0.0
2024-11-05,4383528.750842825,3252460.041423,7635988.792265825,4044.573,3531.8191416666664,3497.5532599999997,1.0,7635988.792265825,7635988.792265825,0.0
2024-11-06,4383528.750842825,3258671.5950660007,7642200.345908825,4024.283,3534.8025249999996,3499.63256,1.0,7642200.345908825,7642200.345908825,0.0
2024-11-07,4383528.750842825,3334896.590291001,7718425.3411338255,4145.695,3538.8108916666665,3502.15876,1.0,7718425.3411338255,7718425.3411338255,0.0
2024-11-08,4383528.750842825,3349740.128620001,7733268.879462825,4104.047,3542.5359083333333,3504.3254079999997,1.0,7733268.879462825,7733268.879462825,0.0
2024-11-11,4383528.750842825,3422557.979001,7806086.729843824,4131.131,3546.744866666667,3506.5148439999994,1.0,7806086.729843824,7806086.729843824,0.0
2024-11-12,4383528.750842825,3397424.6208569994,7780953.371699824,4085.743,3550.4564000000005,3508.567792,1.0,7780953.371699824,7780953.371699824,0.0
2024-11-13,4383528.750842825,3378927.871578001,7762456.622420825,4110.89,3554.0640666666663,3510.727244,1.0,7762456.622420825,7762456.622420825,0.0
2024-11-14,4383528.750842825,3274415.633292,7657944.384134823,4039.619,3556.9695416666664,3512.668964,1.0,7657944.384134823,7657944.384134823,0.0
2024-11-15,4383528.750842825,3200888.269378999,7584417.020221824,3968.831,3559.4084583333333,3514.207744,1.0,7584417.020221824,7584417.020221824,0.0
2024-11-18,4383528.750842825,3054703.5817990005,7438232.332641825,3950.381,3561.6245416666666,3515.4788360000002,1.0,7438232.332641825,7438232.332641825,0.0
2024-11-19,4383528.750842825,3151807.894479,7535336.645321825,3976.891,3564.417033333333,3516.907364,1.0,7535336.645321825,7535336.645321825,0.0
2024-11-20,4383528.750842825,3253584.9859180013,7637113.736760826,3985.773,3567.619516666666,3518.406168,1.0,7637113.736760826,7637113.736760826,0.0
2024-11-21,4383528.750842825,3269986.1407189984,7653514.891561823,3989.298,3570.5660999999996,3519.912056,1.0,7653514.891561823,7653514.891561823,0.0
2024-11-22,4383528.750842825,3149625.1195029984,7533153.870345823,3865.699,3572.7038249999996,3521.028896,1.0,7533153.870345823,7533153.870345823,0.0
2024-11-25,4383528.750842825,3175996.0506340005,7559524.801476825,3848.091,3574.6585666666665,3522.103604,1.0,7559524.801476825,7559524.801476825,0.0
2024-11-26,4383528.750842825,3133173.9514069986,7516702.702249823,3840.185,3576.7075083333334,3523.136112,1.0,7516702.702249823,7516702.702249823,0.0
2024-11-27,4383528.750842825,3191283.211006,7574811.961848824,3907.045,3579.4335083333335,3524.3353119999997,1.0,7574811.961848824,7574811.961848824,0.0
2024-11-28,4383528.750842825,3191285.707787,7574814.458629824,3872.551,3581.798533333333,3525.53606,1.0,7574814.458629824,7574814.458629824,0.0
2024-11-29,4383528.750842825,3252736.249696001,7636265.000538826,3916.583,3584.3061333333335,3526.930116,1.0,7636265.000538826,7636265.000538826,0.0
2024-12-02,4383528.750842825,3324573.0625289995,7708101.813371824,3947.632,3587.24645,3528.415352,1.0,7708101.813371824,7708101.813371824,0.0
2024-12-03,4383528.750842825,3343326.976841,7726855.727683824,3951.891,3590.2435,3529.8986479999994,1.0,7726855.727683824,7726855.727683824,0.0
2024-12-04,4383528.750842825,3295319.413603001,7678848.164445825,3930.557,3593.2138583333335,3531.4432119999997,1.0,7678848.164445825,7678848.164445825,0.0
2024-12-05,4383528.750842825,3354313.838289,7737842.589131825,3921.588,3596.3697833333335,3532.8834839999995,1.0,7737842.589131825,7737842.589131825,0.0
2024-12-06,4383528.750842825,3390873.520764999,7774402.271607824,3973.141,3599.9449333333337,3534.624012,1.0,7774402.271607824,7774402.271607824,0.0
