code,buy_date,sell_date,shares,avg_cost,sell_price,loss_amount,return,holding_days,max_position_value,name,industry,contribution
002312,2021-05-07,2021-11-02 00:00:00,9300,15.718470123915699,15.26014090368,-4262.461748192,-0.029158640543417103,179,64661.819878655995,川发龙蟒,化工原料,5.496168050760785e-05
600186,2007-05-09,2008-05-06 00:00:00,3200,7.064036629649999,5.73209398818,-4262.216452703996,-0.18855262384674132,363,54930.876,莲花控股,食品,5.495851758133704e-05
002373,2018-05-03,2018-11-01 00:00:00,3000,13.91464752678,12.49489563696,-4259.255669459996,-0.10203290360661721,182,41743.94258034,千方科技,软件服务,5.492034020114635e-05
300176,2018-05-03,2018-11-01 00:00:00,1100,37.0015000355,33.13392127164,-4254.336640246003,-0.10452491818302956,182,40701.65003905,鸿特科技,汽车配件,5.485691250887868e-05
002349,2016-05-04,2016-11-01 00:00:00,2700,11.931058609469998,10.35692153118,-4250.170111382997,-0.131936077913536,181,32213.858245568994,精华制药,中成药,5.480318782072366e-05
300134,2013-05-03,2013-11-01 00:00:00,6000,5.7602967422,5.05513228752,-4230.986728080002,-0.1224180777899786,182,34561.7804532,大富科技,通信设备,5.455583053133534e-05
600202,2008-11-03,2009-05-05 00:00:00,1300,18.52606962129,15.2989021836,-4195.317668997,-0.17419601154803854,183,66778.89380562399,哈空调,专用机械,5.4095901141902455e-05
603366,2022-11-01,2023-05-05 00:00:00,4900,6.321593798519999,5.46712305435,-4186.906646432993,-0.13516698025900464,185,30975.809612747995,日出东方,家用电器,5.3987446459558075e-05
300241,2024-11-01,2025-05-07 00:00:00,5600,6.02666547483,5.281375108230001,-4173.626052959995,-0.12366546139198509,187,33749.326659048,瑞丰光电,半导体,5.381620181772078e-05
002427,2017-08-01,2017-11-01 00:00:00,12900,26.60177935539155,26.27843973552,-4171.081096342999,-0.012154811734652493,92,308588.804410887,尤夫股份,化纤,5.37833862522677e-05
600569,2008-05-06,2008-11-03 00:00:00,900,6.87628305364,2.25132839802,-4162.459190058,-0.6725951534487449,181,73639.901501166,安阳钢铁,普钢,5.367221236107591e-05
600372,2010-11-02,2011-11-01 00:00:00,2600,15.331840523999997,13.73508388728,-4151.567255471991,-0.10414644179350041,364,39862.78536239999,中航机载,航空,5.353176792680506e-05
688036,2024-05-07,2024-11-01 00:00:00,700,93.4619241556,87.53944540751999,-4145.735123656007,-0.06336782386611228,178,65423.34690892,传音控股,通信设备,5.345656636853082e-05
000920,2010-05-05,2010-11-02 00:00:00,1800,10.4216775663,8.1235339344,-4136.65853742,-0.22051571038153972,181,14025.08489382,沃顿科技,塑料,5.333952967418048e-05
002271,2020-05-07,2020-11-03 00:00:00,2800,30.3853483172525,28.91174823108,-4126.080241282999,-0.04849706084612515,180,54883.234738332,东方雨虹,其他建材,5.320312940434971e-05
000617,2016-11-01,2017-05-03 00:00:00,7300,10.639849828553148,10.0751698449,-4122.163880667982,-0.053072176088216017,183,74385.53766443799,中油资本,多元金融,5.315263047354606e-05
000629,2006-05-09,2006-08-01 00:00:00,8000,2.253881952196875,1.73950800075,-4114.991611575,-0.22821689971185544,84,39809.315382837005,钒钛股份,小金属,5.3060148714015844e-05
600496,2005-11-01,2006-11-01 00:00:00,5200,1.93205103245,1.14082165638,-4114.392755564,-0.40952819712358,365,39325.040990235,精工钢构,钢加工,5.305242685404593e-05
600758,2008-05-06,2008-11-03 00:00:00,800,7.869220358999999,2.73444508773,-4107.820217015999,-0.652513849786577,181,6295.376287199999,辽宁能源,煤炭开采,5.2967678231034265e-05
601939,2009-11-03,2010-05-05 00:00:00,12500,2.4637430317499995,2.13756754275,-4077.1936124999966,-0.13239022284248403,183,30796.787896874994,建设银行,银行,5.257276802376838e-05
000955,2013-08-01,2013-11-01 00:00:00,9500,3.8439930401504214,3.41658,-4060.423881429002,-0.11118985796438796,92,31666.635000000002,欣龙控股,纺织,5.2356533214925005e-05
002566,2013-11-01,2014-05-06 00:00:00,1900,13.6667196666,11.53206270369,-4055.8482295290005,-0.15619380619380618,186,25966.76736654,益盛药业,中成药,5.229753315047901e-05
000969,2009-05-05,2010-05-05 00:00:00,2000,18.6985894970875,16.678619685,-4039.9396241749982,-0.10802792437376785,365,22725.440737999998,安泰科技,小金属,5.20924019994114e-05
000021,2008-05-06,2008-11-03 00:00:00,1000,6.146705975409999,2.10975019794,-4036.9557774699983,-0.6567673471970041,181,38874.117522240005,深科技,元器件,5.2053927230845217e-05
600203,2009-05-05,2009-11-03 00:00:00,3700,7.274549362079999,6.18386696298,-4035.524876669998,-0.14993126650365352,182,34261.485035777994,福日电子,元器件,5.203547669281023e-05
300633,2021-11-02,2022-05-06 00:00:00,1200,28.517360381509995,25.15442770269,-4035.5192145839937,-0.11792580497739347,185,34220.832457811994,开立医疗,医疗保健,5.203540368388244e-05
601555,2019-05-07,2019-11-01 00:00:00,5000,7.763656100199999,6.956890695449999,-4033.8270237499964,-0.1039156544722809,178,38818.280500999994,东吴证券,证券,5.201358398027677e-05
601001,2009-11-03,2010-05-05 00:00:00,1800,16.724798049959997,14.48635848066,-4029.1912247399946,-0.13383955744119436,183,30104.636489927994,晋控煤业,煤炭开采,5.1953808357846076e-05
300291,2015-11-03,2016-05-04 00:00:00,900,28.16414182582,23.69105968554,-4025.773926251999,-0.1588218866366884,183,114389.275,百纳千成,影视音像,5.190974450958374e-05
300348,2022-11-01,2023-05-05 00:00:00,2300,13.19986920252,11.45218558077,-4019.672330025003,-0.13240158632907884,185,33607.17609248999,长亮科技,软件服务,5.183106838244739e-05
002301,2016-11-01,2017-05-03 00:00:00,5000,14.867305402949999,14.06372975244,-4017.878252549991,-0.05404985158578579,183,74336.52701475,齐心集团,文教休闲,5.1807934916668057e-05
300623,2020-11-03,2021-05-07 00:00:00,3000,27.5396849728,26.2061639037,-4000.5632073000043,-0.04842179823106452,185,82619.0549184,捷捷微电,半导体,5.158466863506255e-05
000791,2007-08-01,2008-05-06 00:00:00,5800,4.467503160119999,3.77922922776,-3991.9888076879924,-0.15406232691764032,279,67523.20857281999,甘肃能源,水力发电,5.1474107311616104e-05
300201,2012-05-03,2012-11-01 00:00:00,22900,1.4614900299999996,1.287213498,-3990.9325827999883,-0.11924578917585882,182,62051.927242305006,海伦哲,工程机械,5.146048797653039e-05
002158,2021-05-07,2021-11-02 00:00:00,2700,23.6157583662,22.13937030816,-3986.2477567080036,-0.06251707165809584,179,63762.54758874,汉钟精机,工程机械,5.140008018166617e-05
600482,2015-11-03,2016-11-01 00:00:00,700,36.882719874,31.20272999604,-3975.992914572003,-0.1540013832321525,364,25817.903911800004,中国动力,船舶,5.1267850641454135e-05
300698,2023-05-05,2024-05-07 00:00:00,2700,37.36209512257445,35.89728300378,-3954.9927207450296,-0.039205834522631045,368,67294.52062433101,万马科技,通信设备,5.099706675835993e-05
300470,2018-05-03,2018-11-01 00:00:00,1900,22.18052529693,20.102072765040003,-3949.059810590995,-0.09370619063641727,182,42142.998064167,中密控股,机械基件,5.0920565728760144e-05
600177,2008-05-06,2008-11-03 00:00:00,2000,3.3529546049999994,1.3831946208,-3939.5199683999986,-0.5874699231724313,181,6705.909209999999,雅戈尔,服饰,5.0797555649240495e-05
000967,2008-05-06,2008-11-03 00:00:00,3400,1.95340594449,0.8028589374,-3911.8598241060004,-0.5889953444317932,181,6641.580211266,盈峰环境,环境保护,5.044089602311578e-05
002518,2022-11-01,2023-05-05 00:00:00,600,47.72866527429,41.2421922243,-3891.883829994002,-0.1359030891124473,185,28637.199164574,科士达,电气设备,5.018331853126587e-05
600284,2008-05-06,2008-11-03 00:00:00,1200,5.238633399999999,2.00116930752,-3884.956910975999,-0.6179978336487526,181,6286.3600799999995,浦东建设,建筑工程,5.009400040187009e-05
600026,2005-11-01,2006-05-09 00:00:00,1200,7.934980286566667,4.70585705238,-3874.9478810240003,-0.40694785841539305,189,61987.30537999999,中远海能,水运,4.9964940450388725e-05
000962,2007-05-09,2007-08-01 00:00:00,1500,14.93936519075,12.35659377726,-3874.1571202349983,-0.17288361188795176,84,38567.7485193,东方钽业,小金属,4.995474410273551e-05
002344,2011-02-01,2011-05-04 00:00:00,12100,10.42247438232,10.10284000704,-3867.575940888018,-0.03066780147929249,92,126111.94002607201,海宁皮城,商品城,4.9869884062223614e-05
002233,2009-11-03,2010-05-05 00:00:00,7800,3.92262662792,3.42865655136,-3852.966597168001,-0.12592839528597477,183,30596.487697776,塔牌集团,水泥,4.968150604749868e-05
300875,2023-05-05,2023-11-01 00:00:00,1900,34.59456,32.5674,-3851.604000000004,-0.05859765234765235,180,65729.664,捷强装备,专用机械,4.966393624051102e-05
600733,2013-05-03,2014-05-06 00:00:00,6400,6.130095491519999,5.53003197246,-3840.4065219839936,-0.09788811934334307,368,58824.327716153995,北汽蓝谷,汽车整车,4.9519552021821434e-05
600866,2019-05-07,2019-11-01 00:00:00,9300,4.227972869119999,3.81570360687,-3834.104138924993,-0.09750991196303682,178,39320.147682815994,星湖科技,饲料,4.943828687867446e-05
600593,2023-11-01,2024-05-07 00:00:00,1900,22.94502736842105,20.92905,-3830.3569999999977,-0.08786118822397293,188,31153.121999999996,大连圣亚,旅游景点,4.9389969951842075e-05
600126,2005-02-01,2005-05-10 00:00:00,5200,2.8193357192,2.09080063647,-3788.3824301960008,-0.258406644433507,98,67929.904934892,杭钢股份,普钢,4.8848735090088745e-05
600128,2006-08-01,2006-11-01 00:00:00,4100,4.5487658906934145,3.62520923193,-3786.5823009299997,-0.20303455507635004,92,62587.052307779995,苏豪弘业,商贸代理,4.882552359038853e-05
000998,2010-11-02,2011-05-04 00:00:00,4100,9.56235895615,8.642066932350001,-3773.197297579993,-0.09624110828930088,183,39205.671720214996,隆平高科,种植业,4.8652932650885464e-05
