code,buy_date,buy_price,shares,buy_technical_score,buy_trend_score,buy_momentum_score,break_ma20_date,break_ma60_date,break_ma120_date,technical_score_low,max_loss_after_ma60,holding_days
300099,2017-05-03,8.69468766,6900,0.1710354151969472,0.0,0.3346664047303838,2017-05-03,2017-05-03,2017-05-03,0.1105818767673086,-0.6177976219562096,358
600256,2017-05-03,2.57233977,23000,0.2664832663383182,0.0,0.348617678819444,2017-05-03,2017-05-03,2017-05-03,0.1710483981628547,-0.06526806526806528,358
603333,2017-05-03,8.19526764,7200,0.240445184999346,0.0,0.3672917553011554,2017-05-03,2017-05-03,2017-05-03,0.1342654404029216,-0.38745119494352487,358
600592,2017-05-03,13.88605946,4200,0.1790551874622163,0.0,0.3755587996593013,2017-05-03,2017-05-03,2017-05-03,0.0682431146509063,-0.6834902340249664,358
300355,2017-05-03,9.70300246,6300,0.8393370853588685,1.0,0.8940362320882589,2017-05-05,2017-05-23,2018-01-15,0.0682953557160109,-0.6396500625024061,358
601155,2017-05-03,12.9291708,4600,0.366280570778069,0.0,0.7292534887350343,2017-05-03,2017-05-10,2018-04-27,0.0819155071608016,-0.0346153846153846,358
300223,2017-05-03,21.27551904,2700,0.04541080145901,0.0,0.0188301473818438,2017-05-03,2017-05-03,2017-05-03,0.044051830577813,-0.2139545489556245,358
300189,2017-05-03,4.12,14500,0.1935844929574758,0.0,0.1514818677658193,2017-05-03,2017-05-03,2017-05-03,0.1189150446486112,-0.4563106796116504,358
300201,2017-05-03,8.4851448,6900,0.3421589496198728,0.0,0.4738631748921693,2017-06-13,2017-06-13,2017-07-26,0.128570537493489,-0.5528354024082183,358
600876,2017-05-03,21.31,2800,0.2057037171731458,0.0,0.2441009195119459,2017-05-03,2017-05-03,2017-05-03,0.084044729994284,-0.46503988737681834,358
600798,2017-05-03,5.4433655,11000,0.2356173640364874,0.0,0.4809718213901813,2017-05-03,2017-05-04,2017-05-08,0.0923921030034924,-0.48837539753668935,358
